heartRate,temperature,ecgAbnormal,avgHeartRate,avgTemperature,heartDiff,tempDiff,status
60,36.1,0,75,36.5,-15,-0.4,1
65,36.2,0,75,36.5,-10,-0.3,1
88,37.0,0,75,36.5,13,0.5,1
92,37.1,0,75,36.5,17,0.6,1
98,37.3,0,75,36.5,23,0.8,2
102,37.5,0,75,36.5,27,1.0,2
108,36.8,0,75,36.5,33,0.3,2
90,38.0,0,75,36.5,15,1.5,2
100,37.0,1,75,36.5,25,0.5,2
115,38.2,1,75,36.5,40,1.7,2
120,37.8,1,75,36.5,45,1.3,3
128,38.6,0,75,36.5,53,2.1,3
130,38.4,1,75,36.5,55,1.9,3
140,37.5,1,75,36.5,65,1.0,3
150,39.2,1,75,36.5,75,2.7,3
